Genes	log2FoldChange	pvalue
SCN2B	-0.378660027	0.822566603
NSUN2	-0.070445465	0.822506557
CLCN7	0.095770907	0.822553387
REEP4	0.079727987	0.822691518
ASCC1	0.069123275	0.822836206
LOC112580537	0.163842552	0.822968499
KLHL15	-0.064849955	0.823289404
B4GALNT4	0.16418696	0.823652386
LOC102415074	-0.127241458	0.823690119
TMEM79	-0.091139684	0.82390703
LOC123333174	0.425140152	0.8239751
LOC102414721	-0.150628853	0.824395246
MNAT1	0.108862325	0.82437271
ECEL1	-0.507863424	0.824540871
KDM2A	0.080239943	0.824557652
PDSS1	-0.119843142	0.824756894
LOC112583098	0.324446641	0.824972881
LMNTD1	0.474396345	0.824978874
CERS6	0.140369641	0.825106317
EVX1	-0.262128676	0.825112041
SEPSECS	0.074910012	0.825218742
SUSD5	0.380218175	0.825224253
LOC102389811	0.177463167	0.825347111
HUWE1	-0.078865955	0.825670198
MAP2K2	-0.069798705	0.825730494
BUD23	-0.079430157	0.825848491
LOC102396260	0.092444356	0.825815388
PRADC1	0.089326457	0.825967445
LOC123330562	-0.245689621	0.826104049
KCNMA1	0.163177033	0.826189518
LOC112583610	-0.447535938	0.826384191
LOC102392611	-0.140057842	0.826572131
NAXE	0.092191421	0.826514194
MRPS2	0.114868155	0.826522859
DDRGK1	0.072624998	0.826572832
LOC123334013	0.243156982	0.826705978
COL4A1	0.168058248	0.826702644
KCNJ10	-0.393160368	0.826868401
LOC112586805	0.348889567	0.82685621
SHANK1	0.540424916	0.826820399
LOC123332652	0.341833606	0.827115495
LTV1	0.07782042	0.827158213
ZNF461	-0.131645774	0.827226201
SPAG4	-0.213739503	0.827315462
CHMP1A	0.067314341	0.82774593
PSMC3	-0.071142822	0.827935211
LOC102410361	-0.515652317	0.828004146
LOC102393356	-0.097385659	0.828229997
LOC102396509	0.384829081	0.828311385
COQ9	0.088240705	0.82830509
PNO1	0.087149078	0.828639479
SLAIN1	-0.097248713	0.828727078
C24H16orf96	0.153245258	0.828863288
LOC112586917	-0.28174591	0.828970409
TRAK1	-0.083382842	0.829037416
RRP1	0.084096223	0.829102234
WDR33	-0.069438696	0.829641267
ZNF740	-0.071100606	0.829707891
LOC102413561	0.104064905	0.829956211
PIK3C2A	0.062259457	0.830006347
SLC25A42	0.143665582	0.830337462
LOC102402503	0.168115849	0.830407546
LOC102389231	0.101905058	0.830640753
TCP1	-0.05918007	0.830935095
MRPS17	0.09900315	0.831016165
ANKRD45	-0.337258139	0.831341502
ZDHHC19	0.250281606	0.831405418
EIF3L	-0.064286735	0.831670342
MLLT11	0.130816886	0.831983076
ABHD8	-0.123337862	0.832021181
GPR75	-0.371244816	0.832009768
CHFR	-0.067987469	0.831981206
ST3GAL2	-0.118676375	0.832005251
SCAF8	0.072857779	0.832115049
LOC123465134	0.387269948	0.832157318
TMEM128	-0.090304892	0.832257188
DLK2	0.408893468	0.832401777
LOC102408507	0.204139436	0.832367043
TRNAA-AGC	0.516199118	0.832531069
NOC2L	-0.086655202	0.832599886
NUFIP1	0.086267452	0.832572013
CARD6	0.098943082	0.832646451
CAMK2A	-0.431964063	0.832816573
TOP3B	-0.093137758	0.83275166
LOC112580745	0.587391229	0.832770084
TM2D2	0.069115532	0.832990797
LOC112585789	-0.455943102	0.832991272
ISLR2	-0.442207869	0.832946094
MYO3B	0.236397286	0.833165853
LOC123331028	-0.332821475	0.833231746
NDUFAF7	-0.110329933	0.833358517
PRR5	-0.080427199	0.833489722
LOC102394029	-0.310270904	0.833897074
LOC123328113	-0.459224817	0.83436747
LOC102412968	-0.154530528	0.834333845
DFFB	-0.159705436	0.834421447
LOC123328662	0.586437149	0.834507087
CACNB4	-0.319517564	0.834712732
OSBPL2	0.07175568	0.83481315
RNF5	-0.069168518	0.835142889
FOCAD	-0.068040751	0.835198869
FAM13B	0.069057418	0.835267577
CALHM2	0.132961537	0.835264948
LOC102414386	-0.102537	0.835608839
RFLNB	0.106259789	0.835773148
ALX1	-0.316446869	0.835737132
THOC6	-0.112740458	0.83581885
LOC112586483	0.305961383	0.835903301
SNN	0.090992198	0.836186598
LOC123329292	-0.373414199	0.836524972
MED15	0.083139452	0.836464681
LOC112580349	0.42365479	0.836498377
SECISBP2	0.067620892	0.836715979
AASDHPPT	-0.07774475	0.836911421
SUMF1	0.071539154	0.837105383
LOC112583137	-0.446038222	0.837342883
TRNAI-AAU_15	0.3042583	0.837226987
MALSU1	-0.110145442	0.837316915
FZD9	-0.197628775	0.837308397
MRPL51	0.091645786	0.837581497
AGAP1	-0.062666534	0.837580626
RBM27	-0.057719094	0.837737842
ANKS3	0.077606088	0.837729444
SYNJ1	-0.062743893	0.837804664
ZDHHC12	0.089351141	0.837849343
FAM110D	-0.237721942	0.837964776
DCAF11	-0.066295795	0.837981749
ATXN1L	-0.069193891	0.838027552
PM20D1	0.162899312	0.838139065
EEF2	0.061793342	0.838251215
MIDEAS	0.085696684	0.838254831
RNF213	0.083462359	0.838354585
RABGAP1	0.063379798	0.838479757
LOC112585115	-0.16442005	0.838668579
LOC123331436	0.322092273	0.838932358
INTS7	-0.061104051	0.839678987
RGSL1	0.434817163	0.83957767
CXCL13	0.671395277	0.839688157
PPP1R35	0.095056372	0.839671113
DIO1	0.408416985	0.839945252
TAB2	-0.056904047	0.839875955
LOC123330945	0.439873505	0.839945718
ALKBH7	0.099261758	0.840146331
WRNIP1	0.076757807	0.840384125
SNRNP200	0.063423022	0.840454757
ACOT13	-0.079077337	0.840864074
RNF20	0.069232185	0.840898065
WDR36	-0.053334697	0.841308637
LOC123331205	-0.441848882	0.841453038
LOC123332683	0.556753684	0.842075708
LOC112584867	0.556753684	0.842075708
LOC102391842	0.084094213	0.841962563
LOC123465347	0.339319529	0.842020909
LOC112581738	0.556753684	0.842075708
LOC102411704	0.556753684	0.842075708
LOC112582354	-0.178991172	0.841870272
LOC123328585	0.19574787	0.842164043
LOC102389915	0.12111135	0.842333921
LOC123464662	-0.288566103	0.842649355
LOC102394743	0.072900342	0.843048422
ZNF286A	0.077257708	0.843047628
BMP4	0.085793295	0.843048831
KLHDC8B	0.142763979	0.84297867
PTPRM	-0.067992441	0.842891957
LPAR4	-0.322418325	0.843052768
TMEM165	-0.060682671	0.84316565
METTL1	0.079974918	0.843505101
SH3BP5	0.085561312	0.843660108
LOC112586179	0.183083584	0.843946358
CHRAC1	0.100173573	0.843987316
ABCF3	-0.071401434	0.844157067
LOC123464565	-0.336243908	0.844366706
LRG1	-0.336243908	0.844366706
C9H19orf67	-0.213548392	0.844388116
PEDS1	-0.064018483	0.844419522
LOC112577627	0.162909888	0.844388113
YPEL2	-0.076344453	0.844502602
UTP4	0.068647764	0.844530949
ZNF609	-0.076736837	0.844774056
PSMD2	-0.053333423	0.844935866
CTSF	-0.076623446	0.844972709
FBXO47	-0.163550227	0.845234919
CSTF2T	0.06464156	0.845226395
LOC102404630	-0.193946514	0.845357605
MED14	-0.05800573	0.845564983
LOC123332230	-0.274710005	0.84589833
LOC102395273	-0.485820248	0.846097055
LOC123334180	-0.431145265	0.846098974
PWP1	0.055183859	0.846286579
LOC123334176	-0.358705743	0.846455605
CD38	0.130807424	0.846419541
ECSIT	0.087578848	0.846414679
STAT2	0.056591383	0.846875381
DPH6	0.073985469	0.846916388
STYX	0.066391843	0.846888771
CHKB	-0.059314294	0.847279239
NR2C1	0.075981	0.847233583
MEX3C	0.054006076	0.847204196
BPTF	0.075747251	0.847372002
CDKN1B	0.070649344	0.847517031
UCK1	0.078910807	0.847533269
LOC123328892	-0.343964181	0.84779678
LOC112583913	0.224542029	0.848075462
BRME1	-0.275246998	0.84804696
LOC102397182	-0.200677066	0.848154719
LOC112585304	-0.186465563	0.848375749
MINK1	0.068115472	0.848570931
OSTF1	0.083200891	0.848585595
ADAM20	0.336177228	0.848491553
NKD2	-0.133976332	0.848530441
C2H6orf136	0.078662215	0.848704385
LOC123466193	0.171700775	0.848787584
BOLA3	0.090364554	0.848808159
HYAL1	-0.062032179	0.848758854
LOC123334086	-0.108201228	0.84886199
LOC112582946	0.177137333	0.848921812
DUSP28	0.095343002	0.84905492
TBXA2R	0.223718774	0.849111286
TBL2	-0.049693345	0.849121658
LYPLA1	0.069855078	0.849234393
PHF2	-0.079105613	0.84946191
LOC102415619	-0.087071229	0.84964484
TRIM13	-0.062631744	0.84970343
ANKRD37	-0.130498438	0.849979343
AGR2	0.21256596	0.84995477
PAWR	0.06748306	0.850152369
LOC123333390	-0.354834722	0.850228312
DNAJC14	-0.056002335	0.850352672
LRRC57	0.075950771	0.850445168
HNRNPUL2	0.058070893	0.850506939
B4GALT7	-0.075999831	0.85060038
SART1	0.073487028	0.850779918
MAPKAPK5	-0.063567021	0.850765343
GNL3L	-0.073147506	0.850756354
TEX30	-0.113562345	0.850933896
RAB14	0.046788829	0.85105187
CCDC65	-0.411289669	0.851160877
LOC102405837	-0.393585744	0.85123647
ANKRD61	-0.19147622	0.851430313
EVL	0.050363729	0.851654364
FOXL3	-0.168564333	0.851654902
SRR	0.10908552	0.851832363
MCAT	0.083977073	0.851853289
LOC112580825	0.149492415	0.851791817
LOC112578944	0.229754826	0.852182368
TOPORS	-0.051293792	0.852311274
GHITM	-0.063933525	0.852322193
EXOC2	0.056775928	0.852632212
TRNAG-UCC_32	-0.313817084	0.852588726
FAM131B	0.201899038	0.85268749
EMCN	-0.309257744	0.852860576
LOC112583830	-0.29181802	0.853054112
EEF2KMT	-0.140867772	0.853514555
BTRC	-0.070232656	0.853575107
CMKLR1	-0.104735624	0.853812194
C5H11orf68	0.073345805	0.854034008
TBL3	0.090472748	0.8542784
CCDC8	-0.060423401	0.854345403
ESCO1	-0.066685427	0.854618203
TLX2	0.251841608	0.854676293
BBS1	0.086017936	0.854783929
LOC123329251	-0.069835623	0.855003073
TMBIM1	-0.07350067	0.855011827
FSD1	0.288346908	0.855039309
STARD10	-0.106467047	0.854958567
LOC102394784	-0.192198942	0.854893572
NUP210L	-0.077539904	0.855161283
STARD3NL	-0.070291443	0.855583507
LOC102394157	-0.061779154	0.855600989
BSPRY	0.088906237	0.855965893
POLR2D	0.098931113	0.856469783
MTRFR	-0.092576919	0.856610431
PAOX	0.069150791	0.856591188
LOC112580056	-0.174642142	0.856800823
LOC102389376	0.081779967	0.856839398
LOC112581241	0.359081218	0.856761983
LOC102407275	0.085236514	0.856816348
LOC102401839	-0.082214457	0.856934412
BCAR3	0.086479043	0.857010121
CORO6	0.113890726	0.85713314
GAL3ST3	-0.228091501	0.857110816
FBXO10	-0.134958261	0.857445149
LOC112580487	0.119469054	0.857408421
LOC112581423	0.192117357	0.857449575
RNF38	-0.059277901	0.857607937
FEM1B	0.044334107	0.857580551
TRNAE-UUC_139	-0.260632967	0.857624672
ADAM22	-0.300585227	0.857753649
GBF1	-0.064428983	0.857929309
LOC123333676	0.245816175	0.858059298
LOC123334015	-0.181424517	0.858117816
LOC112579395	-0.353719349	0.858139821
HECW1	-0.197923395	0.858203002
TMEM170A	0.064325708	0.85846096
MACF1	-0.073979178	0.858886225
GCDH	0.063647927	0.85894436
ILDR1	0.112438457	0.859214033
LRP10	0.070267268	0.859410428
KCNT1	0.275462266	0.859539547
TANC1	0.088589224	0.859686302
BCAT2	-0.102610075	0.859749799
ABLIM3	-0.050919369	0.859913832
LOC112585503	0.120234861	0.860209478
TBX5	0.14865676	0.860413948
LOC102416631	-0.134941793	0.860474748
ZNF527	-0.089754642	0.860562802
BAZ1A	0.050967936	0.860608048
MRPL41	-0.071991169	0.860699791
MRPL44	0.076625736	0.860955286
LOC112583777	0.281492258	0.861330097
F2RL1	0.053008272	0.861226511
LOC102398252	-0.338875684	0.86116176
LOC102405541	-0.433116075	0.861318895
LOC112581400	0.152253949	0.861325016
LOC123328982	-0.28961879	0.861441837
B3GNT4	-0.235752214	0.861619833
ANKRD52	-0.065656767	0.861889398
MCEE	-0.110138798	0.86211021
LOC112587456	0.082382534	0.862166273
DRG2	0.060146161	0.862541382
GPRASP2	0.097918908	0.862590929
SLC25A12	-0.060867831	0.86273928
GALR3	-0.378881966	0.862838025
LOC123334851	-0.378881966	0.862838025
RAD51AP2	-0.378881966	0.862838025
RBM42	-0.051259076	0.862759592
UBAC2	0.055810544	0.8629462
C21H3orf49	0.401991402	0.863122976
OXA1L	-0.059693592	0.863441073
LOC123334418	0.306338937	0.863639015
SH2D7	-0.321442345	0.863733642
LOC123329516	-0.147544416	0.863803059
LOC123328624	-0.381287039	0.863913157
LOC102390617	0.117449256	0.86406353
TP53TG5	0.331272902	0.864139809
LOC102412561	-0.25408907	0.864272136
LOC102403613	0.08372646	0.8644591
LRP6	-0.070346164	0.864701165
LOC102416089	0.138563729	0.864658914
LOC123466105	-0.114267105	0.86465253
LOC123335045	-0.166650415	0.864627013
CNOT4	0.053707532	0.86505892
GAS2L1	-0.054778096	0.865057528
IST1	-0.046283554	0.865171786
LOC123330695	0.264355472	0.865242448
LOC102400977	-0.117630733	0.865337792
AURKAIP1	0.077218468	0.86537067
LOC123333662	-0.337182149	0.865505474
LRRC42	-0.062804669	0.865568109
PAPOLG	0.04747573	0.865611856
NFS1	-0.056057052	0.86561356
LOC112587455	-0.127588821	0.865809414
DCTN1	-0.062968246	0.865777395
IRF2BP1	-0.074091951	0.865774894
LYPLAL1	-0.142287625	0.86592289
LOC102395438	0.085571448	0.866042086
SURF2	0.091492224	0.866087311
ACSS3	0.127520264	0.866157559
LOC123329511	-0.291802927	0.866371062
ZC3H7B	0.077945855	0.86660189
MRPS36	0.071881642	0.866569148
COPS9	-0.069516607	0.866662032
CLDND1	-0.070791073	0.86686015
GOLIM4	0.075749727	0.867107894
LOC123329169	0.205433272	0.867104179
DGKB	-0.138687773	0.867030783
LOC102398182	0.070390372	0.867014829
RAB18	-0.049640628	0.867105595
CLIP1	-0.073693199	0.866884122
KCNA7	0.283289317	0.866947546
TMC7	0.20481616	0.867129691
LOC123333972	0.146724032	0.867386169
TMEM63A	-0.070916842	0.867462753
LOC123466005	-0.399435928	0.867563684
LOC102405154	0.447399114	0.867667531
TMEM42	-0.108303904	0.867640418
LOC112585696	-0.170961752	0.867800859
LOC102409111	-0.127261361	0.86795874
PLOD3	0.067024446	0.867959481
TUSC3	-0.114733207	0.868174966
UBXN7	-0.053085623	0.86811495
SLC16A2	0.120567825	0.868190488
LOC112578264	-0.19781853	0.868385962
BICRAL	0.069382655	0.868515096
CFAP100	0.356607272	0.868519644
LOC102397726	0.052775585	0.868696355
CCDC191	0.090375995	0.868937061
LOC102415330	0.387643451	0.86893504
LOC123335104	0.24387776	0.869207498
AKR1A1	-0.056649331	0.869259116
S100A1	0.242596513	0.869324078
PTHLH	-0.388994256	0.869433445
LPCAT1	0.049913453	0.86947078
LOC102415514	0.060877701	0.86960266
GPATCH3	0.06571892	0.869710545
CCDC93	0.054548286	0.869859066
FBXL17	0.05614758	0.86998913
ACVR1C	0.183832239	0.870102536
ELL3	-0.185291237	0.870098099
LOC112577605	-0.167486905	0.870429738
CCDC96	-0.166362466	0.870734286
SP4	0.059911013	0.870740723
NCALD	0.087469127	0.870633763
COMMD9	-0.081898795	0.870561744
SYMPK	0.060499977	0.870676302
LOC102393597	0.29280551	0.871216228
LOC123334202	0.248230448	0.871202578
STK40	0.068556592	0.871201096
LOC112586232	0.336272031	0.871102013
LOC123328000	0.29280551	0.871216228
CMTM7	0.06889901	0.871022128
DCAF12	-0.04645426	0.871300455
LOC102400068	-0.224134037	0.871550443
DCDC2B	0.266951278	0.871960836
TNFSF4	0.354023138	0.871836546
NEMF	-0.06317377	0.871768624
TMEM236	0.289306637	0.871885891
TCEA1	-0.03953356	0.871924784
CPNE7	0.34089425	0.871763359
LOC102389399	0.243889516	0.872106902
LOC102414810	-0.041539867	0.872159327
PLA2G5	0.306931151	0.872267544
LOC112584811	0.385028918	0.872409815
NEK7	0.045664269	0.87242874
HTT	-0.047628078	0.872662298
ANKRD54	-0.068658103	0.872771555
SOD3	-0.108370302	0.872812212
LOC123330842	0.216269359	0.872731262
RBM33	-0.063355277	0.872866848
LUC7L3	-0.068239237	0.873044752
TRNAY-GUA_22	-0.299155458	0.87309887
LOC102400888	0.286292922	0.873111101
LOC102394431	-0.084292135	0.872984984
CSPG5	-0.139796168	0.87298923
LOC102404092	0.256149828	0.873317869
USP35	0.088172121	0.873510887
LOC102398213	0.272895766	0.873714219
RUVBL2	-0.055283541	0.873765288
ATG5	0.057833404	0.873842427
FGF23	-0.308673896	0.874057769
SIRT7	0.05345163	0.87416621
EXOSC10	-0.050641121	0.87423729
LOC123334865	0.208924195	0.874412301
KRR1	0.056141023	0.874503198
TIMM10	0.138070002	0.874603004
SPTLC1	0.049609831	0.874840676
TMEM167A	0.069990874	0.874825488
ZNF771	-0.092904555	0.874806213
SRPRA	0.046614678	0.874899015
LOC102397471	0.430142876	0.875095655
CUEDC2	0.058673741	0.875175422
TTLL5	-0.061704157	0.875249148
LOC102416107	0.242256425	0.875522152
LOC102415962	-0.128486238	0.875811644
NAALADL2	-0.049131829	0.875959977
LOC123327534	0.144452195	0.876036411
MPHOSPH10	0.057655841	0.87599069
DCDC1	-0.247009514	0.876223379
SLC6A16	0.356632273	0.876343605
GCNA	0.089270334	0.876422282
ARV1	-0.059909029	0.876504933
LOC102404553	0.112715994	0.876594246
DHX38	0.058285029	0.876636188
LOC123333840	-0.228334692	0.876692224
LOC123329265	-0.318036311	0.87705492
LOC123465584	-0.066860786	0.877326351
FUBP3	-0.045667714	0.877554405
MRPL38	0.053766242	0.878129671
ADORA3	-0.163643744	0.878057503
LOC102402714	-0.084844654	0.878147031
PPP1R16A	-0.100535961	0.878047103
LOC112580290	0.061475194	0.877991834
CARS2	-0.056252971	0.878409936
PFDN4	-0.088146932	0.878444321
TMC5	-0.203969083	0.878512708
GPRASP1	-0.118488642	0.878616005
LOC102403824	0.185341801	0.878682267
ECHS1	0.067983413	0.878754557
SYT1	0.134047356	0.879131674
LOC112587150	-0.382105472	0.879084039
UCHL3	0.079535787	0.879082715
PDE4D	-0.076037744	0.8792583
R3HDM2	0.049908178	0.879401673
REX1BD	-0.076760233	0.879631747
PSME2	0.061620672	0.879629295
TRNAC-ACA_201	0.248099883	0.879704242
LOC112584115	0.150183196	0.879995285
LOC123465999	0.326861146	0.879932401
POMT1	-0.053325771	0.879870904
COQ5	-0.068933663	0.879981468
VWA2	-0.124561481	0.879846331
PEAK1	0.048136596	0.880203758
GPM6A	-0.185384226	0.880432673
COG5	-0.047782454	0.880416073
WDR70	-0.046200703	0.880992983
SCARA5	-0.095809766	0.881108871
UHMK1	0.035155745	0.881262837
CA9	0.069176855	0.881501927
QSOX1	0.050328481	0.881477173
FAM50A	0.044251703	0.881460666
LRCH3	0.035558474	0.882323385
ACVR1	-0.048365517	0.882281292
LOC112584175	-0.251116292	0.88222141
UACA	0.053081079	0.882344387
ZNF532	-0.066995657	0.88226331
LOC112578951	-0.264142964	0.882462694
FBLIM1	0.07030408	0.882817534
LOC102395002	0.252407293	0.882787504
FAM174C	0.081944537	0.882784184
ZNF598	-0.049202741	0.882722216
LOC123465032	-0.086542507	0.882973987
LIMS1	0.046628755	0.883047582
LOC112578263	-0.254645994	0.883151381
GLT1D1	-0.254645994	0.883151381
SLC25A11	0.049743432	0.883388364
PTPN3	0.041801053	0.883302287
MED27	0.053185689	0.88339293
LOC112579199	-0.330888189	0.88330433
B9D1	0.081920828	0.883639234
PTCH1	-0.055849761	0.883662455
LOC102389808	0.356688447	0.883704507
ERMARD	-0.08393879	0.883681197
ANKDD1B	-0.195531801	0.883630478
BLOC1S2	-0.069230569	0.883526825
LOC123334806	0.203192407	0.883761287
SENP7	0.051533402	0.883865079
TEFM	0.086034899	0.884296593
CCDC27	-0.393970944	0.884060047
FAM89B	-0.065991063	0.884302301
UNC5C	0.100060908	0.88414507
FMC1	0.087000429	0.8839658
LOC102396998	0.260858028	0.88430289
RBM3	0.042393317	0.884168627
LOC102412204	0.130559814	0.884159417
LOC123328940	-0.327759904	0.884440363
LOC102401932	-0.13775338	0.885039266
LOC123331750	-0.294920696	0.885159343
TP53I13	-0.062296079	0.885333423
HDHD3	0.081463734	0.885326094
TRNAC-GCA_228	-0.271030093	0.885304408
CCDC116	0.285098737	0.885978734
LOC112577837	-0.33314367	0.88608925
LOC102403002	-0.070514104	0.88642183
MIB2	-0.073113365	0.886752479
AGO3	0.050744858	0.886769445
SOWAHB	0.068080671	0.886805931
DNHD1	0.119747775	0.88677622
LOC123331450	0.095858849	0.887205765
AP4M1	-0.049557275	0.88766622
LOC123335061	0.071712232	0.88786555
LOC123330032	-0.233405978	0.888127782
COG7	-0.057321182	0.888081667
CPT2	-0.040639716	0.888273748
MON1B	-0.067803474	0.888521389
ACAA1	0.045666306	0.888730457
LOC112585187	0.302155939	0.888908774
LOC123328209	0.302155939	0.888908774
MAP2K5	-0.056203847	0.888941165
LOC123331431	-0.168579763	0.888900171
SMIM30	-0.066405629	0.88911936
MAP6D1	-0.080383225	0.889226405
YIPF1	-0.054137314	0.889306265
PCP4	-0.379950658	0.889736491
TBC1D7	0.056693764	0.889696473
IP6K3	0.195317503	0.88961878
LOC102397733	0.109456294	0.889687937
LOC112579240	0.094105204	0.889961841
LOC102411191	-0.146472953	0.890120816
LOC102395718	-0.092915964	0.89004489
CPSF7	0.039846385	0.890118394
LOC112583077	0.130978252	0.890309792
LOC112584178	0.18337773	0.890543625
LOC112581204	-0.277920573	0.890719234
LOC102412113	0.099960969	0.891030999
PLP2	0.049766998	0.890993507
ZNF449	-0.066028749	0.891240016
LOC112584538	-0.161385457	0.891853459
AGBL4	-0.293434459	0.891833673
FGFR1OP2	0.068493684	0.89201316
COPG1	0.046933138	0.89205358
LOC123335166	0.274544365	0.89215328
POMT2	0.068490366	0.892125447
LOC123333151	-0.190875309	0.892372084
PDC	-0.372430562	0.892353669
LOC102406258	-0.19511382	0.892338989
TCTN1	-0.066448016	0.892338936
ASCC3	-0.043304352	0.892599232
LOC112578262	0.212599523	0.892569607
LOC102401107	-0.108504242	0.892518165
IRS1	-0.04989457	0.892854569
CCDC103	0.209142758	0.892840185
CLCN1	0.123164197	0.893054447
INPP5E	0.054776222	0.893014268
LOC102404930	-0.052194446	0.892968662
LOC123465880	0.264989074	0.893337684
UTP11	0.043339264	0.89328223
TRNAE-UUC_117	0.225327419	0.893329209
LOC112581759	-0.310179345	0.893701134
LOC123333743	-0.107631679	0.893858376
LOC102398373	0.268849104	0.893931635
RINL	0.210585762	0.893971344
METTL25	-0.061303223	0.894034712
LOC102397346	0.110027739	0.894193153
LOC123465729	-0.194159538	0.894280755
IPMK	-0.046073546	0.894309173
PANX2	0.1816948	0.894815675
JOSD2	-0.069275975	0.894780754
LOC112580015	0.246735317	0.895372969
SNX7	0.068539754	0.895430096
ANKRD50	-0.04893923	0.895548873
LOC102401727	-0.120322798	0.895631904
RERG	0.149123357	0.895653829
FXYD4	0.117504491	0.896008541
TRMT12	-0.044366615	0.896019693
CACNA1E	0.121426053	0.896435824
WDR20	-0.046607923	0.896619999
LOC112587779	-0.073457893	0.896694202
ZDHHC18	-0.045642568	0.896753873
GALK2	-0.056919007	0.896848539
METRN	-0.166290745	0.896799451
DUS1L	-0.04095067	0.897228061
FBXL2	0.056634803	0.897344671
LOC102392251	0.122902959	0.897448008
PHETA2	0.057668824	0.897608346
GTPBP1	0.058102391	0.897676392
RPSA	-0.051196365	0.897633078
LOC102394254	0.052164947	0.897771863
CARS1	0.058480625	0.89796101
LOC112579211	0.245006005	0.897992574
RBM41	-0.063775678	0.898015993
SPATA5	-0.045584155	0.898104333
LOC102404617	-0.100648006	0.898303206
LOC102400510	0.099036283	0.898617195
PYM1	0.070096329	0.898777779
CHMP4C	0.049513976	0.898751285
FBXO21	0.043982757	0.898799493
C6H1orf52	0.055841695	0.898890152
LOC102405475	-0.127608502	0.898952235
ZMYND10	-0.145968379	0.898964699
LOC102401094	0.239285849	0.899084813
ST7L	-0.055245584	0.899138287
LOC123465209	0.289290377	0.899227696
MSANTD2	-0.044752159	0.89943013
ERGIC2	0.05657278	0.89968858
TMEM9B	0.059218619	0.899658194
RILPL2	0.053798396	0.899714955
ZNF143	0.040312936	0.899764288
HOXA10	0.101682411	0.899843199
CLDN19	0.214480867	0.900009142
LOC123329894	-0.129515358	0.900074637
LOC123331683	0.139409684	0.900086962
BTF3L4	0.047198892	0.90026365
TIMM13	-0.060451918	0.900266079
LOC102415369	0.056046508	0.900370617
NKX6-2	-0.28484465	0.900591852
RAB38	0.187701085	0.90076898
LOC123329192	-0.173370766	0.900791869
PER2	-0.058435506	0.900846774
LOC102406738	-0.031106399	0.900897947
NT5M	0.100787199	0.901072744
CDKN2AIPNL	0.046752621	0.901193853
CCT5	0.036215555	0.901237778
IHH	0.218334473	0.901774817
CPSF4L	0.119299972	0.902105497
LOC123465881	-0.172397621	0.902078599
TIMM44	0.039512915	0.902131118
LOC112578528	-0.251147174	0.902107251
SCRN3	-0.06812007	0.902630887
KLHL9	-0.035850113	0.902691221
LOC123327952	-0.162485466	0.902899751
BOD1L1	-0.057621422	0.903331417
FHIP2B	0.047167149	0.903648119
TSHZ1	0.077727189	0.903644179
ARHGEF37	-0.047554995	0.903775801
CFAP97	-0.037360471	0.904113344
LOC123333767	-0.13407632	0.904374106
DUSP19	0.063657092	0.904216723
UBXN11	0.074517978	0.904421663
LOC112585226	-0.100487676	0.90426112
RIMS3	0.134672676	0.904395031
RARS2	0.045852626	0.904269727
MINDY3	-0.048086533	0.904348349
LOC112580604	0.226764883	0.904158496
LOC123464708	0.242385491	0.904761121
RAD21	0.027844482	0.904753816
CDH8	0.313017949	0.904769462
DGAT2L6	0.124458231	0.904744034
ASTN2	0.084693857	0.905156426
PARVB	0.062840864	0.904916012
TMEM176B	0.305210024	0.90516031
RNF224	0.326828135	0.905146778
RSPH14	0.326828135	0.905146778
LOC102392120	0.326828135	0.905146778
LOC102410181	0.185270269	0.905375017
PAXIP1	0.041712742	0.905476458
LOC123330692	0.262373768	0.905522723
SLC49A4	-0.043171438	0.905573228
LOC102391992	0.149788824	0.905913922
GDPGP1	0.047373509	0.905824788
LOC123331047	-0.077666836	0.905892288
GATAD1	-0.049559846	0.90610273
RUFY1	0.041166165	0.906083694
TMEM52	0.264735506	0.906187061
NUTF2	0.042782674	0.906834017
SSB	-0.031612547	0.906935965
PAH	-0.247548267	0.907096815
ATG13	0.044703635	0.907073299
LOC123464677	0.159477144	0.907172713
LOC102412874	-0.056267528	0.907216539
LNP1	0.089710428	0.907378315
NXN	0.053371623	0.907297872
CSNK2A2	0.033196823	0.907365498
LOC102409612	-0.135396895	0.907669828
GPN2	-0.055356609	0.907846628
SLCO1C1	0.221732936	0.908137169
PEBP4	0.157514428	0.908311461
LOC102409492	0.08022911	0.908362272
NHP2	0.056392832	0.90852733
LAMTOR5	0.060112839	0.908925847
ONECUT2	0.234221091	0.908889945
SIX5	0.071706124	0.908983521
ACVR2A	0.033531294	0.909479135
PTBP3	0.028108596	0.909341995
LOC123464629	-0.171717888	0.909514603
LOC112577893	0.256936009	0.909439281
C21H3orf18	-0.143931089	0.909406745
ZNF394	0.055075177	0.909345445
PDGFRB	-0.056927203	0.909663123
LOC112583852	0.17962416	0.910285095
LOC123333265	-0.161281501	0.910289201
LARS1	-0.028144388	0.910375394
EIF4EBP3	0.062723357	0.910161043
LOC102391206	0.051838249	0.910429731
LOC102402046	0.111748303	0.910427048
PHF8	-0.041659286	0.910314873
GIN1	0.052328305	0.910592583
NSUN6	-0.051972453	0.910556914
TUSC2	-0.073126132	0.910581672
HCRTR1	-0.103595596	0.910816725
CISD3	0.156259771	0.910863284
AP2B1	-0.029750505	0.910904893
LOC112586136	-0.107832967	0.911167822
RPP40	0.078545216	0.91122045
