Geneid	Gr11.bam	Gr12.bam	Gr13.bam	Gr31.bam	Gr32.bam	Gr33.bam
LOC123328865	0	0	0	1	2	0
LOC123464826	4	4	6	0	0	1
LOC123328866	4	3	3	1	0	0
LOC123464824	0	1	1	2	5	1
LOC123464825	1	5	0	0	0	0
LOC102398340	7	21	5	2	7	0
LOC123328869	0	0	0	0	0	0
LOC102409035	4	1	0	2	4	0
LOC102392665	6	15	3	13	10	15
LOC123464827	1	0	0	0	0	0
LOC102392111	0	4	0	0	0	0
LOC102413340	29	0	27	81	111	58
LOC123328882	0	0	0	0	0	0
LOC112578525	0	0	0	1	0	1
LOC112578528	3	0	6	3	0	3
LOC102413663	33	0	23	2	2	0
LOC102392193	5	0	2	0	2	0
LOC123328883	0	0	0	0	0	0
LOC102413807	22	6	18	25	29	48
LOC123464831	4	0	0	10	5	12
LOC102412250	4	5	0	4	2	2
LOC102412565	0	2	14	1	1	0
LOC123464828	34	15	23	62	62	52
LOC123464558	10	0	23	31	46	12
LOC123464538	80	7	72	93	157	34
LOC123464837	168	375	287	548	812	191
LOC123464833	0	0	0	0	0	0
LOC102396286	15	10	0	4	5	1
LOC123464531	2	2	4	0	0	0
LOC123464829	0	0	0	0	0	0
LOC123464834	0	0	0	0	0	0
LOC123464839	0	0	0	0	0	0
LOC102410713	0	0	0	0	0	0
LOC123464540	0	0	0	4	3	1
LOC112578420	0	0	0	0	0	0
LOC102395698	0	0	0	0	0	0
LOC102398488	4	11	8	33	20	51
TRNAC-ACA_140	0	0	0	0	0	0
TRNAG-CCC_141	0	0	0	0	0	0
SOX21	0	0	0	0	0	0
LOC123328965	0	0	0	0	0	0
LOC112578605	0	0	0	0	0	0
GPR180	170	176	118	46	42	60
TGDS	100	84	102	70	77	60
TRNAF-GAA_27	0	0	0	0	4	0
DCT	0	0	0	0	0	0
GPC6	76	34	8	198	2	391
TRNAE-UUC_113	0	0	0	0	0	0
TRNAE-UUC_114	0	0	0	0	0	0
TRNAC-ACA_141	0	0	0	0	0	0
GPC5	0	0	10	8	0	13
LOC123328969	3	0	12	0	0	2
LOC123328968	1	0	0	1	0	1
TRNAC-GCA_163	0	0	0	0	0	0
LOC123328970	2	0	0	0	0	0
LOC112578423	0	0	0	0	0	0
LOC123328902	0	0	0	0	0	0
LOC112578585	0	0	0	0	0	0
SLITRK5	6	0	0	12	20	6
TRNAQ-CUG_21	0	0	0	0	0	0
LOC102399836	0	0	0	0	0	0
LOC102413529	8	6	12	0	0	0
SLITRK6	40	46	26	8	0	18
LOC123328971	0	0	0	0	0	0
TRNAS-GGA_89	0	0	0	0	0	0
LOC123328972	0	0	0	0	0	0
SLITRK1	0	6	0	0	0	0
TRNAC-GCA_164	0	0	0	0	0	0
LOC123328974	2	0	0	0	0	0
LOC123328973	0	0	0	0	0	0
LOC123328903	0	0	0	0	0	0
TRNAC-ACA_142	0	0	0	0	0	0
LOC102395074	2	0	4	6	6	8
LOC112578424	0	0	2	0	0	0
LOC102409495	2	0	0	0	0	0
SPRY2	91	128	49	144	98	182
LOC102408857	0	0	0	2	2	0
LOC112578425	0	0	0	0	0	0
LOC123328975	0	0	0	0	0	0
NDFIP2	827	1621	825	1549	1642	1427
LOC102408308	0	0	0	2	6	0
RBM26	861	627	893	416	228	588
LOC112578579	0	0	0	0	0	0
LOC112578584	0	0	0	0	0	0
TRNAC-GCA_165	0	0	0	0	0	0
LOC112578577	0	0	0	0	0	0
OBI1	399	397	341	114	71	141
POU4F1	39	12	21	0	0	0
EDNRB	679	988	566	324	206	475
LOC123328977	0	0	0	0	0	0
SLAIN1	73	53	60	43	35	37
SCEL	512	818	827	4617	3761	5591
TRNAR-CCU_26	0	0	7	2	4	2
LOC123328904	0	0	0	0	0	0
MYCBP2	3562	2791	4449	2870	1604	4112
LOC102388968	1	0	0	2	2	4
FBXL3	432	689	636	604	325	836
CLN5	503	457	366	305	155	404
ACOD1	0	0	2	3	0	9
KCTD12	318	263	192	1004	803	1156
LOC112578433	0	0	0	0	0	0
LOC112578575	0	0	0	0	0	0
LOC112578572	0	0	0	0	0	0
LOC112578571	0	0	0	0	0	0
LMO7	2930	2848	3747	2618	2582	2627
UCHL3	266	309	201	142	243	109
COMMD6	61	106	49	130	185	62
LOC112578437	8	1	26	16	12	11
TBC1D4	1274	674	1255	814	744	825
LOC112578532	0	0	0	0	0	0
KLF12	333	63	97	177	105	237
KLF5	134	243	76	5740	4845	6718
TRNAC-ACA_143	0	0	1	0	0	0
PIBF1	176	126	184	147	107	149
TRNAG-UCC_99	0	4	1	0	0	0
DIS3	462	374	406	165	113	232
BORA	165	135	136	35	28	36
MZT1	28	64	53	94	110	56
LOC112578438	0	0	0	0	0	0
DACH1	28	0	4	10	0	20
TRNAC-ACA_144	0	0	0	0	0	0
TRNAC-GCA_166	0	0	0	0	0	0
LOC112578604	0	0	0	0	0	0
KLHL1	0	0	0	0	0	0
LOC123328905	0	0	0	0	0	0
LOC102415522	14	37	11	40	56	28
LOC112578596	0	0	0	0	0	0
LOC123328906	0	0	0	0	0	0
LOC123328907	0	0	0	0	0	0
TRNAH-AUG_8	0	0	0	0	0	0
LOC123328908	0	0	0	0	0	0
PCDH9	10	8	0	20	0	52
LOC123328980	0	0	0	0	0	0
LOC123328981	0	0	0	0	0	0
ATP12A	2263	2738	1824	86	78	134
RNF17	0	0	0	0	0	0
CENPJ	262	170	189	110	59	148
PARP4	852	687	634	696	473	939
MPHOSPH8	560	402	569	615	367	884
PSPC1	1358	593	1308	684	458	893
ZMYM5	210	185	204	180	140	235
ZMYM2	1031	696	840	742	454	1015
GJA3	2	0	0	0	2	0
GJB2	265	184	271	13	19	19
LOC123328982	4	0	8	2	2	3
GJB6	12	30	4	4	8	0
CRYL1	34	38	34	311	373	192
LOC102407301	0	0	0	0	0	0
IFT88	150	56	94	144	108	223
LOC123328984	2	0	3	3	2	4
IL17D	144	204	154	168	216	113
EEF1AKMT1	61	87	66	74	59	80
XPO4	586	359	547	215	156	337
LOC102399953	10	0	3	0	0	0
LATS2	278	219	147	333	214	424
LOC123328985	0	0	0	0	0	0
SAP18	441	497	247	443	564	361
SKA3	143	142	117	48	48	35
MRPL57	79	105	35	60	85	44
ZDHHC20	1058	1533	1082	967	768	1174
LOC123328986	7	18	29	8	3	10
MICU2	166	135	123	170	187	132
LOC102396134	12	4	14	0	2	4
FGF9	2	0	2	12	2	22
LOC123328909	0	0	0	0	0	0
LOC123328910	0	0	0	0	0	0
LOC112578449	0	0	0	0	0	0
TRNAK-UUU_27	0	0	0	0	0	0
SGCG	0	0	0	2	0	6
SACS	145	44	44	176	117	228
LOC123328987	0	0	0	2	0	2
TNFRSF19	774	438	649	71	12	115
LOC123328988	6	7	7	2	2	2
LOC102406548	140	148	113	124	88	177
C1QTNF9	0	0	2	4	2	6
SPATA13	555	258	274	117	105	132
LOC102407187	14	22	17	8	14	4
AMER2	15	29	31	1	0	3
MTMR6	542	569	543	377	264	513
NUP58	676	599	759	502	436	592
TRNAG-CCC_142	0	0	0	0	0	0
ATP8A2	34	42	20	24	4	32
LOC112578578	0	0	0	0	0	0
LOC123328989	0	0	0	0	0	0
SHISA2	83	30	18	5	4	12
LOC102412116	0	0	0	0	0	0
RNF6	332	506	268	157	168	206
CDK8	767	633	612	669	552	736
LOC123328994	0	0	0	2	0	2
LOC123328993	2	0	0	8	7	8
LOC123328991	0	0	0	0	4	0
LOC123328990	0	0	0	0	0	0
LOC123328992	0	0	0	0	0	0
WASF3	132	130	119	125	43	205
LOC123328911	0	0	0	0	0	2
GPR12	0	0	0	0	0	0
USP12	1019	704	1136	588	397	753
LOC123328995	5	0	2	4	2	2
LOC123328912	0	0	0	0	0	0
RPL21	3781	6302	3288	3489	4159	2949
LOC112578595	11	5	12	2	3	0
LOC112578601	100	113	122	33	64	15
RASL11A	8	4	13	174	0	342
LOC102398855	0	0	0	3	0	5
GTF3A	48	40	25	17	12	37
MTIF3	173	135	129	100	57	149
LNX2	376	346	451	286	210	363
LOC102400385	16	4	16	10	8	10
POLR1D	493	497	233	537	448	553
LOC123464851	6	0	11	0	0	4
LOC123464850	0	0	0	0	0	0
GSX1	0	0	0	0	0	0
TRNAC-GCA_167	0	0	0	0	0	0
PDX1	0	0	0	0	0	0
CDX2	438	407	304	0	0	0
URAD	284	496	202	0	0	0
FLT3	0	0	2	2	0	4
PAN3	1502	1177	1558	729	405	1057
FLT1	676	59	539	511	58	976
LOC123328996	0	0	0	0	0	0
LOC123328997	2	0	2	0	0	2
LOC123328998	0	0	0	0	0	0
LOC102410728	2	2	0	2	2	2
LOC102410394	587	732	523	789	967	564
SLC46A3	37	16	24	17	22	39
MTUS2	13	6	4	14	12	18
LOC123328999	0	0	0	4	4	2
SLC7A1	492	228	247	301	141	462
UBL3	452	408	278	857	811	842
LOC112578459	0	0	0	0	0	0
LOC123328913	0	0	0	0	0	0
LOC112578460	0	6	0	21	8	19
LOC112578461	0	0	0	0	0	0
KATNAL1	182	98	131	146	86	217
HMGB1	4116	4941	3860	1539	1170	2002
TRNAC-GCA_168	0	0	0	0	0	0
USPL1	469	255	410	293	221	363
TRNAN-GUU_31	0	0	0	0	2	0
LOC102388988	0	8	6	24	30	0
MEDAG	12	18	2	445	337	539
TEX26	0	0	0	14	17	6
LOC102406344	0	0	0	0	2	0
HSPH1	2169	1634	3746	1912	2420	1475
B3GLCT	269	242	121	58	42	91
RXFP2	0	0	0	0	0	0
LOC123329000	0	0	0	0	0	0
FRY	466	396	457	882	239	1541
LOC123328887	0	0	0	0	0	2
ZAR1L	245	142	325	149	71	206
BRCA2	1260	1155	1383	65	45	80
N4BP2L1	79	122	114	222	250	191
N4BP2L2	663	730	721	548	435	703
PDS5B	1017	951	1064	1026	473	1440
LOC123328914	0	0	2	0	0	0
KL	26	15	17	51	19	64
STARD13	118	38	74	720	371	976
LOC123329003	0	0	1	6	2	4
LOC102403942	18	2	5	4	14	2
RFC3	104	142	99	81	122	45
TRNAC-ACA_145	0	0	0	0	0	0
LOC102414025	0	0	1	3	7	6
TRNAY-AUA_27	0	0	0	0	0	0
LOC123329005	0	0	0	0	0	0
TRNAC-GCA_169	0	0	0	0	0	0
TRNAC-GCA_170	0	0	0	0	0	0
NBEA	331	65	142	473	286	744
MAB21L1	8	0	2	2	2	14
LOC123328915	0	0	0	0	0	0
LOC123329008	8	4	2	30	10	38
DCLK1	347	142	130	1000	367	1641
TRNAE-UUC_115	0	0	0	0	0	1
SOHLH2	0	0	2	2	2	7
SPART	1915	1892	1955	626	414	817
CCNA1	203	329	206	0	0	0
SERTM1	4	0	0	102	0	191
LOC123329010	0	0	0	0	0	0
LOC102412691	203	175	211	54	30	69
SMAD9	137	30	26	62	12	96
LOC123329011	0	0	0	0	0	0
ALG5	381	385	316	163	224	129
LOC112578467	27	5	38	5	1	4
EXOSC8	137	135	137	83	93	54
SUPT20H	1409	747	1633	543	439	646
LOC102412094	76	14	81	0	4	6
LOC123328916	0	0	0	0	0	0
POSTN	1984	52	87	222	247	161
TRPC4	3	0	0	28	3	55
UFM1	443	525	342	333	354	361
LOC112578574	0	0	0	0	0	0
FREM2	299	70	40	91	7	147
STOML3	9	32	6	8	6	8
PROSER1	566	520	416	282	187	386
NHLRC3	333	412	278	243	144	374
LHFPL6	160	32	34	249	46	440
LOC112578602	0	0	0	0	0	0
COG6	282	275	239	166	182	158
LOC123464853	0	0	0	0	0	2
LOC123328824	0	0	0	0	0	0
LOC112578471	0	0	0	0	2	0
TRNAC-ACA_146	0	0	0	0	0	0
LOC102395459	0	0	0	4	2	2
LOC123328825	0	0	0	0	0	0
LOC112578473	0	0	4	0	0	2
FOXO1	345	348	233	313	116	542
MRPS31	231	242	230	156	151	144
LOC112578590	6	1	9	0	1	2
SLC25A15	593	494	408	101	107	102
LOC102393852	12	8	10	4	4	6
TRNAM-CAU_26	0	0	0	0	0	0
THSD1	279	70	53	4	4	29
LOC112578592	4	0	0	0	0	0
VPS36	964	743	961	274	182	408
CKAP2	795	899	745	61	61	43
NEK3	70	42	51	67	79	84
NEK5	24	12	0	5	10	3
ALG11	233	229	121	80	70	95
ATP7B	312	171	55	277	66	525
LOC102391723	0	0	0	0	1	0
CCDC70	8	0	13	2	0	4
DHRS12	133	112	65	61	63	73
WDFY2	290	173	204	153	102	173
LOC112578476	19	2	36	8	2	15
INTS6	975	777	1103	753	652	809
SERPINE3	4	6	9	6	12	2
LOC123328827	2	0	0	2	6	0
LOC123328828	0	0	0	0	0	0
FAM124A	0	2	2	0	0	0
C13H13orf42	0	0	0	0	0	0
LOC102400461	0	0	0	0	0	0
RNASEH2B	263	237	162	185	162	205
DLEU7	0	0	0	0	1	0
LOC123328829	0	0	0	0	0	0
LOC102411634	0	0	2	0	2	0
LOC112578479	4	0	0	2	5	0
TRNAG-UCC_100	0	0	0	0	0	0
LOC123328833	0	2	0	2	0	2
LOC102413401	299	229	394	131	97	167
KCNRG	27	6	29	14	9	12
TRIM13	219	173	132	109	97	124
LOC123328832	3	0	4	12	2	10
LOC123328830	5	0	0	20	13	29
LOC123328831	1	0	0	7	1	8
LOC102415044	10	0	10	14	6	32
SPRYD7	444	526	363	354	332	360
KPNA3	542	548	406	400	279	465
TRNAV-UAC_11	0	0	0	0	2	0
EBPL	56	38	25	48	58	32
ARL11	4	0	6	9	13	10
RCBTB1	543	305	234	84	65	104
LOC102392662	678	441	869	290	152	451
CAB39L	1316	1355	1780	110	64	148
CDADC1	346	360	350	405	288	459
LOC102395556	4	14	15	8	10	8
MLNR	16	0	0	2	0	4
LOC123328889	0	0	0	2	2	0
FNDC3A	6180	5981	7283	1469	822	2060
LOC123328890	0	0	0	2	2	2
LOC112578541	2	0	6	0	0	0
LOC123328891	0	0	0	0	0	0
CYSLTR2	0	0	0	4	0	4
RCBTB2	257	180	122	151	130	195
LOC112578545	1	1	2	7	8	3
RB1	267	392	429	258	71	393
LPAR6	271	362	287	30	14	41
LOC123328892	17	0	4	4	0	8
LOC112578599	0	0	0	0	0	1
ITM2B	1965	2691	1139	6702	6254	7028
MED4	260	231	187	301	317	274
NUDT15	418	335	307	237	195	284
SUCLA2	489	524	339	312	260	336
LOC123328834	0	0	0	0	0	0
LOC123328918	0	0	0	1	0	6
LOC112578487	0	0	0	1	3	9
HTR2A	8	48	20	54	10	104
ESD	224	289	148	252	235	257
LRCH1	776	360	643	751	384	1096
LOC123328836	0	0	0	0	0	0
LOC123328835	0	0	0	2	0	2
RUBCNL	50	8	6	60	19	147
LRRC63	0	4	8	0	0	0
LOC102392280	0	2	0	0	0	0
LCP1	7268	13175	8479	433	734	157
LOC102391283	16	8	54	0	0	0
LOC112578489	16	2	23	0	0	0
CPB2	0	0	0	0	0	0
ZC3H13	2342	1964	2293	995	487	1515
LOC123328838	4	0	1	0	0	0
SIAH3	0	0	0	0	0	0
TRNAC-ACA_147	0	0	0	0	0	0
LOC123328837	0	0	0	0	0	0
LOC123328839	0	0	0	0	0	0
CBY2	0	0	0	0	2	2
ERICH6B	1	0	1	2	0	2
COG3	769	536	770	387	296	457
SLC25A30	499	1008	815	135	73	155
LOC123328840	0	0	0	0	0	0
TPT1	9527	12026	6371	11665	12100	11085
LOC112578597	61	34	143	70	82	45
LOC112578598	28	33	37	31	45	20
GTF2F2	379	266	436	160	128	194
KCTD4	34	4	31	2	0	4
GPALPP1	165	184	134	108	49	129
NUFIP1	199	134	137	101	118	99
TRNAE-UUC_116	2	0	0	3	10	0
TRNAC-ACA_148	0	0	0	0	0	0
TSC22D1	1749	954	845	2831	2312	3486
SERP2	23	10	8	4	2	6
LOC123328919	0	0	0	0	0	0
LOC102392607	0	0	0	0	0	0
TRNAC-ACA_149	0	0	0	0	0	0
LOC123328841	0	0	0	0	0	0
LOC123464821	0	0	0	0	0	0
LOC123328920	0	0	0	0	0	0
LOC123328842	0	0	0	0	0	0
LACC1	382	289	257	537	338	747
CCDC122	2	0	6	4	6	4
LOC123328863	5	2	6	19	4	34
LOC123328847	10	0	3	20	2	39
LOC123328846	0	2	4	1	1	3
LOC123328843	0	0	11	6	4	14
LOC123328848	22	10	16	34	9	68
ENOX1	45	57	39	150	28	246
TRNAC-GCA_171	0	0	0	0	0	0
LOC123328845	0	10	1	0	0	0
LOC123328844	0	10	3	0	0	0
LOC123328921	0	0	0	3	0	3
LOC123328864	0	1	2	0	0	0
DNAJC15	154	187	80	258	391	153
TRNAH-GUG_21	0	0	0	0	0	0
EPSTI1	24	99	20	131	150	119
TRNAS-GCU_18	0	0	0	0	0	0
LOC123328849	0	0	0	0	0	0
TRNAG-CCC_143	0	0	0	0	0	0
FAM216B	0	0	0	0	0	0
TNFSF11	2	0	2	0	0	0
TRNAC-GCA_172	0	0	0	0	0	0
AKAP11	4395	4946	5564	1374	694	2101
DGKH	2303	1282	2773	576	278	825
VWA8	892	471	833	370	299	481
TRNAY-GUA_45	0	0	0	0	0	0
RGCC	64	44	16	48	80	28
LOC123328851	0	0	0	0	0	0
NAA16	686	380	884	337	219	437
MTRF1	94	82	99	34	61	48
KBTBD7	506	686	547	26	28	23
LOC102398033	3554	3789	2891	1029	472	1607
WBP4	611	383	602	366	271	465
ELF1	2842	2462	1866	1270	1265	1176
TRNAE-UUC_117	11	1	2	4	5	0
TRNAR-CCU_27	18	4	23	0	0	2
SUGT1	282	256	236	336	361	326
CNMD	110	0	4	2	2	2
TRNAG-UCC_101	0	0	0	0	0	0
PCDH8	2	0	0	0	2	0
LOC123328852	0	0	0	0	0	0
OLFM4	0	0	0	2	2	2
TRNAC-GCA_173	0	0	0	0	0	0
LOC112578588	0	0	0	0	0	0
LOC112578587	0	0	0	0	0	0
TRNAW-CCA_106	0	0	0	0	0	0
TRNAC-GCA_174	0	0	0	0	0	0
PCDH17	128	13	24	49	41	53
LOC102407312	0	0	0	0	0	0
LOC123328923	0	0	0	0	0	0
LOC112578573	0	0	0	0	0	0
LOC123328858	0	0	0	0	0	0
LOC123328855	0	0	0	0	0	0
LOC123328857	0	0	0	0	0	0
LOC123328859	0	0	0	0	0	0
LOC123328924	0	0	0	0	0	0
DIAPH3	819	697	834	469	320	646
TDRD3	254	186	255	249	132	308
LOC123464822	2	0	2	0	0	2
LOC112578576	0	0	0	0	0	0
PCDH20	0	0	0	0	0	0
LOC123464823	0	0	0	0	0	0
LOC123329104	0	0	0	0	0	0
LOC123329105	0	0	0	0	0	0
CBLN4	0	2	2	4	2	4
LOC123329107	0	0	2	2	0	2
LOC123329106	0	0	0	0	0	0
LOC112578933	0	2	0	0	0	0
DOK5	8	3	0	0	0	0
LOC102396693	0	4	2	14	8	6
LOC123329055	0	0	0	0	0	0
LOC123329108	0	0	0	0	0	0
PFDN4	212	466	218	172	242	100
LOC102396198	74	16	65	0	0	0
LOC112578654	0	0	0	0	0	0
BCAS1	10	4	5	12	14	6
LOC102394586	0	0	0	0	0	0
LOC112578656	4	0	1	0	0	2
LOC112578657	0	0	0	2	0	6
LOC123329056	0	0	2	2	2	2
LOC123464877	0	0	0	0	0	0
LOC123329109	0	0	2	0	1	0
LOC112578979	0	0	0	2	2	0
ZNF217	1093	934	1141	666	189	1125
LOC112578953	0	0	0	0	0	0
LOC112578955	0	0	0	0	0	0
TSHZ2	198	70	32	98	22	172
LOC123329111	2	0	1	13	0	16
LOC123329110	4	0	8	7	0	13
LOC112578895	0	0	0	0	0	0
LOC123329112	0	0	0	0	0	0
LOC123329113	0	0	0	0	0	0
LOC102398520	32	4	24	41	26	63
ZFP64	153	177	138	104	52	134
LOC123329115	2	0	2	0	0	0
LOC123329116	0	0	0	0	0	0
LOC123329117	0	0	0	0	0	0
SALL4	281	38	332	0	0	0
ATP9A	3776	2594	2620	782	284	1180
NFATC2	2674	2561	1975	189	141	230
LOC123329119	10	0	13	0	2	0
LOC123329118	2	0	0	0	0	2
LOC123329120	2	0	0	0	0	8
KCNG1	38	6	0	18	0	39
MOCS3	121	110	93	80	65	104
DPM1	507	461	420	176	159	172
LOC102394710	1580	894	1211	552	316	789
BCAS4	59	75	49	403	455	324
LOC123329057	0	0	0	0	0	0
PARD6B	1698	2501	2198	719	987	466
RIPOR3	36	18	9	55	43	58
PTPN1	1191	822	721	529	296	780
LOC112578668	0	0	0	2	0	2
LOC112578670	0	0	0	2	2	4
LOC112578669	0	0	0	2	1	3
LOC102401247	4	0	9	2	0	2
LOC112578672	21	14	29	0	0	0
LOC123329121	15	14	15	0	0	0
LOC112578673	4	0	0	0	2	0
LOC123329122	4	0	11	4	2	5
LOC112578674	0	0	0	2	0	3
LOC123329124	0	0	0	0	0	0
LOC112578675	0	0	6	8	4	9
LOC123329123	0	0	0	0	0	0
LOC112578677	14	6	35	57	39	78
CEBPB	778	903	557	683	472	957
PEDS1	551	803	419	405	272	477
UBE2V1	763	692	418	683	501	782
LOC123329125	0	0	2	0	0	0
LOC123329126	0	0	0	6	0	6
SNAI1	26	16	10	65	50	109
TRNAS-GCU_19	0	0	0	2	10	2
RNF114	489	413	320	327	232	427
LOC112578934	8	0	1	4	0	10
SPATA2	170	130	131	40	61	66
SLC9A8	383	273	244	70	19	112
LOC123329058	0	0	0	0	0	0
B4GALT5	2908	1973	2418	480	332	593
LOC123329127	11	2	26	4	3	6
LOC123329130	0	0	0	0	0	0
LOC123329128	0	0	0	0	0	0
LOC123329129	0	0	0	0	0	0
LOC123464523	2624	4372	1809	0	0	0
PTGIS	839	421	676	191	42	321
LOC123329131	8	0	13	6	0	17
KCNB1	33	2	4	3	2	1
LOC102390067	12	2	0	4	2	2
TRNAE-UUC_118	0	0	0	0	0	0
LOC123329132	728	913	674	348	380	306
LOC112578957	196	107	278	99	105	112
LOC112578959	76	43	108	30	38	27
LOC112578958	54	91	51	59	34	77
ZNFX1	642	747	452	761	540	1059
DDX27	535	320	334	351	162	453
LOC102397866	21	56	28	68	85	29
STAU1	1295	1196	950	1227	850	1566
LOC123464914	0	0	0	3	1	2
CSE1L	2040	2229	1735	804	581	1073
ARFGEF2	3746	3246	3286	596	367	783
PREX1	483	342	233	246	258	220
LOC123329134	0	0	0	0	0	0
TRNAC-GCA_175	0	0	0	0	0	0
LOC123329135	0	0	0	0	0	0
LOC123329136	0	0	0	0	0	0
LOC123329059	0	0	0	0	0	0
LOC123464869	0	0	0	0	0	0
LOC123329060	0	0	0	0	0	0
LOC123329139	0	0	0	0	0	0
LOC123329061	0	0	0	0	0	0
TRNAK-UUU_28	0	0	0	0	0	0
SULF2	45	50	12	106	77	111
LOC123329140	0	0	0	0	2	0
NCOA3	1759	1321	1543	673	371	993
TRNAG-UCC_102	0	0	0	0	0	0
TRNAE-UUC_119	0	0	0	0	0	0
LOC112578682	2	0	0	0	0	0
LOC112578990	3	0	3	0	0	0
ZMYND8	1631	1137	1679	448	281	650
LOC112578686	7	0	23	5	2	5
LOC112578963	2	0	6	0	0	0
EYA2	0	0	0	0	0	0
LOC123329142	0	0	0	0	0	0
LOC123329141	0	0	0	0	0	0
LOC112578988	0	0	0	0	0	0
LOC102397794	126	101	64	81	76	96
SLC2A10	211	113	189	18	17	10
TP53RK	158	149	158	50	66	36
SLC13A3	36	0	14	7	2	7
LOC112578688	0	0	0	0	0	0
TRNAR-CCU_28	0	0	0	0	0	0
LOC102391284	0	0	0	0	0	0
LOC123329062	0	0	0	0	0	0
LOC102390495	2	0	0	0	0	0
LOC102390275	10	0	0	0	0	0
LOC123329143	0	0	0	0	0	0
LOC123329144	0	0	0	0	0	0
ELMO2	1102	991	667	232	101	346
SLC35C2	195	241	97	72	53	95
CDH22	18	16	4	0	0	0
LOC112578936	0	0	0	0	0	0
CD40	13	11	7	24	8	48
LOC123329145	0	0	0	2	2	0
NCOA5	531	526	339	231	133	302
LOC102414863	0	0	0	0	0	0
SLC12A5	9	0	2	0	0	2
LOC123329146	0	0	0	0	0	0
MMP9	0	2	14	660	1361	2
LOC102413215	24	11	9	18	8	20
LOC112578689	10	13	14	10	5	26
ZNF335	310	289	261	202	138	290
PCIF1	225	194	131	184	95	279
LOC102411801	87	180	20	40	55	36
CTSA	6740	10715	4930	444	346	555
NEURL2	41	55	16	2	12	9
SPATA25	15	8	10	3	3	6
ZSWIM1	27	6	21	2	2	8
ZSWIM3	15	20	26	34	36	24
ACOT8	217	310	182	180	166	167
SNX21	112	67	26	50	25	68
TNNC2	2	4	0	0	0	0
UBE2C	816	795	611	4	7	2
DNTTIP1	253	258	221	155	128	161
WFDC3	76	236	82	24	34	16
WFDC13	0	0	0	0	0	0
LOC102406336	0	2	0	0	0	0
WFDC11	0	0	0	2	2	0
LOC102405698	0	0	0	2	2	0
WFDC9	0	0	0	0	0	0
WFDC8	2	0	4	0	0	0
LOC102391237	1	8	2	12	26	0
WFDC6	0	0	0	6	8	2
LOC112578949	0	0	0	0	1	0
LOC112578940	2	0	0	2	0	2
WFDC2	263	306	25	22992	23158	22261
LOC102392022	0	4	0	2	7	0
LOC102392354	22	24	24	4	2	4
LOC123329064	0	4	0	0	0	0
LOC123329103	0	4	4	2	0	2
LOC112577708	6	0	11	0	0	0
LOC102398187	16069	25523	17595	425	64	877
LOC102397875	5395	3438	4477	2	4	0
LOC112580285	36	24	14	12	18	18
LOC123464915	0	0	0	0	0	0
LOC102396999	9	5709	351	0	0	0
LOC102413279	7	1792	136	0	0	0
LOC102392417	2	102	11	2	0	2
LOC112578930	0	10	2	159	0	332
TRNAY-AUA_28	4	0	0	0	0	0
LOC112578693	733	9497	1142	0	0	0
LOC102405068	5	4	10	10	6	18
PIGT	354	393	163	730	196	1288
DBNDD2	30	76	17	179	135	179
SYS1	189	199	155	208	122	282
TP53TG5	4	0	5	3	0	6
LOC123329148	0	0	8	0	0	0
SDC4	1347	1417	1346	6502	3822	9553
RBPJL	1	6	6	32	46	11
MATN4	0	6	0	85	109	57
LOC102401606	0	0	0	2	2	2
LOC102401285	0	0	0	7	0	16
LOC112578694	0	0	0	17	6	40
LOC102412360	0	0	0	0	0	0
LOC112578695	4	2	4	0	0	0
LOC123329151	0	0	1	0	0	0
LOC123329152	3	4	2	0	0	0
LOC112582678	0	0	0	0	0	0
LOC102412687	8	0	1	1	1	0
LOC123464878	0	0	0	0	0	0
LOC123329149	0	0	0	5	12	1
LOC112578696	0	0	0	0	0	0
LOC102392539	0	0	4	0	0	0
LOC102394255	0	0	1	0	0	0
KCNS1	0	0	0	0	2	0
LOC123329153	0	0	0	2	0	6
STK4	660	494	634	217	208	260
TOMM34	120	150	119	11	17	13
PABPC1L	32	4	17	26	34	52
YWHAB	4135	4316	3257	1307	952	1683
RIMS4	56	24	10	0	0	0
KCNK15	0	0	0	0	0	0
CCN5	2	0	0	8	2	8
TRNAS-GGA_90	0	0	0	0	0	0
LOC123329065	0	0	0	0	0	0
LOC123329066	2	6	5	0	0	0
ADA	1314	2099	1271	77	8	141
PKIG	961	1242	576	274	109	440
LOC112578954	0	0	0	1	0	7
LOC112578951	2	4	2	2	0	3
LOC123329155	0	2	0	0	0	0
SERINC3	526	321	303	675	405	1013
TTPAL	128	91	70	119	68	146
LOC112578991	0	0	0	0	0	0
HNF4A	0	47	0	0	0	0
R3HDML	0	0	0	0	0	0
FITM2	147	156	77	81	37	100
GDAP1L1	0	0	0	0	0	0
TRNAF-GAA_28	0	0	0	0	0	0
OSER1	246	207	180	381	390	374
JPH2	58	8	8	299	13	604
TRNAG-CCC_144	0	0	0	1	0	1
TRNAG-CCC_145	0	0	0	0	0	3
TOX2	43	6	10	6	0	25
GTSF1L	0	0	0	0	0	0
MYBL2	338	459	258	16	4	26
LOC102396111	21	28	10	4	0	4
IFT52	67	43	56	36	44	51
SGK2	109	40	547	2	2	0
L3MBTL1	49	6	25	34	28	32
SRSF6	1978	1461	1473	1017	787	1285
LOC112578962	0	0	4	0	0	0
LOC112578702	0	0	0	0	0	0
